service_code,origin_iso2,dest_iso2,min_weight_kg,max_weight_kg,band_type,price,price_per_kg,min_charge,zone_label
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,19.0,19.0,FIXED,116.14340389636365,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AR,20.0,20.0,FIXED,120.87915148254547,,,AR
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,0.1,0.1,FIXED,8.399887824302352,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,0.2,0.2,FIXED,9.842341328507661,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,0.3,0.3,FIXED,11.293808049894787,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,0.4,0.4,FIXED,12.736261554100096,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,0.5,0.5,FIXED,14.178715058305405,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,0.6,0.6,FIXED,15.621168562510713,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,0.7,0.7,FIXED,17.06362206671602,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,0.8,0.8,FIXED,18.50607557092133,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,0.9,0.9,FIXED,19.94852907512664,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,1.0,1.0,FIXED,21.399995796513767,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,1.1,1.1,FIXED,22.842449300719075,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,1.2,1.2,FIXED,24.284902804924382,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,1.3,1.3,FIXED,25.727356309129693,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,1.4,1.4,FIXED,27.169809813334997,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,1.5,1.5,FIXED,28.612263317540307,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,1.6,1.6,FIXED,30.054716821745618,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,1.7,1.7,FIXED,31.497170325950925,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,1.8,1.8,FIXED,32.939623830156236,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,1.9,1.9,FIXED,34.38207733436154,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,2.0,2.0,FIXED,35.82453083856685,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,2.5,2.5,FIXED,39.449530419545454,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,3.0,3.0,FIXED,41.95951367727273,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,3.5,3.5,FIXED,44.460483717818185,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,4.0,4.0,FIXED,46.96145375836364,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,4.5,4.5,FIXED,49.46242379890909,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,5.0,5.0,FIXED,51.96339383945455,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,6.0,6.0,FIXED,56.95632070336364,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,7.0,7.0,FIXED,61.94924756727272,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,8.0,8.0,FIXED,66.94217443118183,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,9.0,9.0,FIXED,71.92608807790909,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,10.0,10.0,FIXED,76.91000172463639,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,11.0,11.0,FIXED,81.89391537136363,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,12.0,12.0,FIXED,86.88684223527274,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,13.0,13.0,FIXED,91.870755882,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,14.0,14.0,FIXED,96.86368274590907,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,15.0,15.0,FIXED,101.865622827,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,16.0,16.0,FIXED,106.86756290809089,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,17.0,17.0,FIXED,111.86950298918183,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,18.0,18.0,FIXED,116.88946950463637,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,19.0,19.0,FIXED,121.91844923727274,,,AU
UPS_ECONOMY_DDU_EXPORT_FR,FR,AU,20.0,20.0,FIXED,126.95644218709093,,,AU
